,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set boss items as tier 6,,,Range,Factor,,Cost,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,,,,,,,,,,,,,Average level ups required to equip items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-handed weapon factor,,,1,1.3,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,3,6,11,18,124,33,14,,,,,,,,,,,,,,4.0,3.9,3.8,3.9,3.7,3.8,3.9,3.8,3.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,2,1.5,,2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Stagger per item tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,1.6,,3,-5,,,,,,,,,,,,,,,,,,,,,,Base,,,,Tier 1,,,,Tier 2,,,,Tier 3,,,,,,,,,,,,,,,,,,,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier,Action 1,Action 2,Action 3,SUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Machete,911,5,152,67,121,65,FALSE,Core,Transposed,,Sunless City,Transposed,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,,Warrior,9,,Warrior,9,Weapon,TRUE,75,40,40,35,0,0,65,3,5,4,10,16,13,3,5,4,10,16,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,27,27,-99,-99,-99,-99,-99,-99,-99,27,,6,6,-96,-96,-198,-96,-198,-198,-96,6,6,6,6.0,,28,28,-85,-85,-198,-85,-198,-198,-85,28,,17.4,4.2,3.5,0.0,1,0,0,3.5,0.0,0.0,3.5,0.0,0,20.5,1.3,-1,5.5,5.5,5.5,0.0,0,1,1,0,0,0,0,0,0,0,0,1,21.6,1.3,-7,3.5,3.5,7.5,7.5,0,1,1,0,0,0,0,0,0,0,0,1,25.2,1.3,-7,5.5,5.5,5.5,0.0,0,1,1.5,0,0,0,0,0,0,0,0,1,,BLK,,,BLK,,,,🔺,1,,,,1📏,1◼️,BLU,BLU,BLU,,,,,,,,,,,,,,,1📏,4◼️,BLK,BLK,ORA,ORA,,,,,,,,,,,,,,1📏,4◼️,BLU,BLU,BLU,,,,TRUE,,,,,,,,,,,,,
Vordt's Great Hammer,842,4,140,62,128,60,TRUE,Vordt,Mega Boss,Vordt of the Boreal Valley,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,FALSE,,0,Weapon,TRUE,66,33,33,,33,0,68,3,5,0,11,16,0,3,5,,11,16,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,-99,-99,27,27,27,-99,-99,-99,27,27,,-96,-96,6,6,6,-96,-96,-96,6,6,6,6,6.0,,-85,-85,28,28,28,-85,-85,-85,28,28,,24.4,4.2,7.0,0.0,1,0,0,3.5,0.0,0.0,3.5,3.5,0,25.0,1.3,-3,5.5,5.5,5.5,0.0,0,1,1,0,0,5,0,0,0,0,0,1,28.1,1.3,-7,5.5,5.5,5.5,5.5,0,1,1,0,0,5,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,BLK,BLK,,,🔺,1,,,,1📏,2◼️,BLU,BLU,BLU,,,,,,,TRUE,,,,,,,,1📏,4◼️,BLU,BLU,BLU,BLU,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fume Ultra Greatsword,803,5,134,59,115,57,FALSE,Core,Legendary,,Painted World,Legendary,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,70,37,37,33,0,0,58,3,5,3,9,15,11,3,5,3,9,15,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,27,27,-99,-99,-99,-99,27,27,-99,27,,6,6,-96,-96,-198,-96,6,6,-96,6,6,6,6.0,,28,28,-85,-85,-198,-85,28,28,-85,28,,28.2,6.6,3.5,0.0,4,0,0,5.5,0.0,0.0,3.5,0.0,0,13.9,1.3,-3,5.5,7.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,14.1,1.3,-10,5.5,5.5,7.5,0.0,0,1,1,0,0,0,0,0,0,0,0,1,18.4,1.3,-7,5.5,7.5,0.0,0.0,0,1,1.5,0,0,0,0,0,0,0,0,1,,BLU,,,BLK,,,,🔺🔺,2,,,,1📏,2◼️,BLU,ORA,,,,,,,,,,,,,,,,1📏,5◼️,BLU,BLU,ORA,,,,,,,,,,,,,,,1📏,4◼️,BLU,ORA,,,,,TRUE,,,,,,,,,,,,,
Dragon Tooth,770,5,148,72,124,71,FALSE,Core,Legendary,,Tomb of Giants,Legendary,,,,,TRUE,TRUE,FALSE,TRUE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,62,37,37,0,0,25,80,5,5,0,15,17,0,5,5,,15,17,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,27,20,-99,-99,-99,-99,20,20,-99,20,,6,5,-96,-96,-97,-96,5,5,-96,5,5,5,5.2,,28,20,-85,-85,-93,-85,20,20,-85,20,,21.4,4.2,5.5,0.0,1,0,0,3.5,0.0,0.0,5.5,0.0,0,19.7,1.3,-7,5.5,7.5,7.5,0.0,0,1,1,0,0,0,0,0,0,0,0,1,25.0,1.3,-15,5.5,7.5,7.5,0.0,0,1,1.5,0,0,0,0,0,0,0,0,1,3.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,,BLK,,,BLU,,,,🔺,1,,,,1📏,4◼️,BLU,ORA,ORA,,,,,,,,,,,,,,,1📏,6◼️,BLU,ORA,ORA,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,ACTION 3: Gain 2 ⬛stamina,
Homing Crystal Soulmass,745,5,248,166,186,106,FALSE,Characters,Transposed,,Painted World,Transposed,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,Sorcerer,5,,Sorcerer,5,Spell,,40,40,0,0,40,0,125,7,0,0,25,0,0,7,,,25,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,-99,-99,-99,-99,9,9,-99,-99,-99,9,,-99,-99,-99,-99,3,3,-99,-99,-99,3,3,3,3.0,,-99,-99,-99,-99,14,14,-99,-99,-99,14,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,62.0,1.6,-10,7.5,0.0,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,5,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,3📏,5◼️,ORA,,,,,⚡,,,,,,,,,,5 🔁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTION 1: All 5 attacks must target the same enemy,
Moonlight Greatsword,717,4,114,49,98,64,FALSE,Core,Legendary,,Painted World,Legendary,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,73,31,21,21,31,0,50,1,4,4,5,12,13,1,4,4,5,12,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,27,-99,27,27,35,27,-99,-99,27,35,,6,-96,6,6,7,6,-95,-95,6,7,6,7,6.3,,22,-91,22,22,26,18,-87,-87,22,26,,16.4,4.2,0.0,0.0,4,0,0,3.5,0.0,0.0,0.0,0.0,0,10.8,1,0,3.5,5.5,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,14.8,1,-5,5.5,5.5,5.5,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,24.7,1.6,-7,5.5,5.5,5.5,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,,BLK,,,,,,,🔺🔺,2,,,,,,BLK,BLU,,,,⚡,,,,,,,,,,,,,3◼️,BLU,BLU,BLU,,,⚡,,,,,,,,,,,,3📏,4◼️,BLU,BLU,BLU,,,⚡,,,,,,,,,,,,,,
Drang Hammers,708,5,118,52,104,51,FALSE,Characters,Transposed,,Painted World,Transposed,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,Mercenary,7,,Mercenary,7,Weapon,TRUE,68,35,33,35,0,0,68,2,5,6,7,15,19,2,5,6,7,15,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,27,27,27,27,-99,-99,-99,-99,27,27,,6,6,6,6,-96,-96,-96,-96,6,6,6,6,6.0,,28,28,28,28,-85,-85,-85,-85,28,28,,15.0,0.0,3.5,3.0,1,0,0,0.0,0.0,0.0,3.5,0.0,0,14.0,1,0,5.5,5.5,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,1,17.0,1,-5,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,2,18.0,1,-10,5.5,5.5,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,2,,,,,BLK,,,1🤺,🔺,1,,,,,,BLU,BLU,,,1,,,,,,,,,,,,,,3◼️,BLU,BLU,,,,,,,,,,,,,,2 🔁,,,5◼️,BLU,BLU,,,1,,,,,,,,,,,2 🔁,,,,
Great Chaos Fireball,682,5,128,61,107,60,FALSE,Characters,Transposed,,Tomb of Giants,Transposed,,Sunless City,Transposed,,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,,Pyromancer,6,,Pyromancer,6,Spell,,64,37,0,0,37,27,60,2,5,0,8,16,0,2,5,,8,16,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,-99,-99,-99,-99,20,27,-99,-99,-99,20,,-96,-96,-96,-96,5,6,-97,-97,-96,5,5,6,5.3,,-85,-85,-85,-85,20,28,-93,-93,-85,20,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,22.0,1.5,-1,7.5,0.0,0.0,0.0,0,1.2,1.5,0,0,0,0,1,0,0,0,1,40.3,1.5,-7,5.5,5.5,5.5,0.0,0,1.2,1.5,0,0,0,0,1,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,2📏,1◼️,ORA,,,,,⚡,TRUE,,,,,1,,,,,,2📏,4◼️,BLU,BLU,BLU,,,⚡,TRUE,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pursuers,655,5,,,,,TRUE,Manus,Mega Boss,"Manus, Father of the Abyss",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,,Spell,,35,35,,,35,,125,7,0,0,25,0,0,7,,,25,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,-99,-99,9,9,9,9,-99,-99,9,9,,-99,-99,3,3,3,3,-99,-99,3,3,3,3,3.0,,-99,-99,14,14,14,14,-99,-99,14,14,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,53.0,1.5,-10,3.5,3.5,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,5,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,2📏,5◼️,BLK,BLK,,,,⚡,,,,,,,,,,5 🔁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All 5 attacks must target the same enemy,
Avelyn,649,4,139,71,122,73,FALSE,Core,Legendary,,Painted World,Legendary,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,53,30,0,30,23,0,65,3,4,0,10,16,0,3,4,,10,16,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,20,20,14,14,-99,14,27,27,14,14,,5,5,4,4,-97,4,6,6,4,4,4,6,4.7,,20,20,12,12,-93,16,28,28,12,12,,8.0,0.0,0.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,23.4,1.6,-1,5.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,-2,3,27.0,1.6,-7,7.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,-2,3,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,1🤺,🔺,1,,,,3📏,1◼️,BLU,,,,,,,,,,,,,,TRUE,3 🔁,,3📏,4◼️,ORA,,,,,,,,,,,,,,TRUE,3 🔁,,,,,,,,,,,,,,,,,,,,,,,
Gold-Hemmed Black Robes,642,3,81,30,76,39,TRUE,Characters,Legendary,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Armor,,84,28,0,28,28,28,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,44,54,44,44,-99,44,44,44,44,27,,8,9,8,8,-95,8,8,8,8,6,6,9,7.9,,34,42,34,34,-87,34,34,34,34,18,,61.2,6.6,11.0,12.0,1,0,0,5.5,0.0,0.0,5.5,5.5,0,3.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,BLU,BLU,,2🤸,🔺,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When you use your heroic ability, gain 1 ⬛stamina",TRUE
Bountiful Sunlight,622,5,135,71,113,68,FALSE,Core,Transposed,,Sunless City,Transposed,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,,Herald,3,,Herald,3,Spell,,55,35,0,0,20,35,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,-99,20,-99,-99,14,-99,20,20,-99,14,,-97,5,-97,-97,4,-98,5,5,-97,4,4,5,4.6,,-93,20,-93,-93,16,-97,20,20,-93,16,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,19.2,1.6,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,12,0,1,43.0,1.6,-5,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,30,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,3📏,,,,,,,,,,,,,,,4,,,,3📏,3◼️,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,ACTION 1: 1 character within range gains 6 ⬛stamina      ACTION 2: All other characters within range gain 6 ⬛stamina,
Partizan,616,5,88,35,77,45,FALSE,Core,Transposed,,Sunless City,Transposed,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,,Herald,3,,Herald,3,Weapon,TRUE,80,35,28,17,0,35,53,2,4,0,7,14,0,2,4,,7,14,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,-99,35,-99,-99,44,-99,27,44,-99,27,,-96,7,-95,-95,8,-95,6,8,-95,6,6,8,7.0,,-91,26,-83,-83,34,-83,22,34,-83,22,,22.2,6.6,3.5,0.0,1,0,0,5.5,0.0,0.0,3.5,0.0,0,11.3,1.3,-1,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,-2,1,15.1,1.3,-7,5.5,5.5,7.5,0.0,0,1,1,0,0,0,0,0,0,0,-2,1,7.8,1.3,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,6,0,1,,BLU,,,BLK,,,,🔺,1,,,,1📏,1◼️,BLU,BLU,,,,,,,,,,,,,TRUE,,,1📏,4◼️,BLU,BLU,ORA,,,,,,,,,,,,TRUE,,,1📏,,,,,,,,,,,,,,,2,,,,,ACTION 3: All characters gain 2 ⬛stamina,
Gotthard Twinswords,604,5,114,55,101,54,FALSE,Core,Legendary,,Painted World,Legendary,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,60,35,25,35,0,0,57,2,5,3,9,16,9,2,5,3,9,16,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,20,20,20,20,-99,27,-99,-99,27,20,,5,5,5,5,-97,6,-97,-97,6,5,5,6,5.3,,20,20,20,20,-93,28,-93,-93,28,20,,17.4,4.2,3.5,0.0,1,0,0,3.5,0.0,0.0,3.5,0.0,0,13.0,1,-1,3.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,2,15.0,1,-7,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,2,9.3,1.3,-5,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,BLK,,,,🔺,1,,,,,1◼️,BLK,BLK,,,,,,,,,,,,,,2 🔁,,,4◼️,BLU,BLU,,,,,,,,,,,,,,2 🔁,,1📏,3◼️,BLU,BLU,,,,,,,,,,,,,,,,,,
Crimson Robes,602,4,88,36,79,46,TRUE,Characters,Legendary,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Armor,,76,32,0,22,32,22,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,-99,-99,27,35,44,27,-99,-99,35,35,,-95,-95,6,7,8,6,-96,-96,7,7,6,8,6.8,,-87,-87,22,30,34,18,-91,-91,26,26,,57.2,6.6,9.0,12.0,1,0,0,5.5,0.0,0.0,3.5,5.5,0,3.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,BLK,BLU,,2🤸,🔺,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When you use your heroic ability, you may remove one condition token from a character",TRUE
Greatsword of Artorias,596,2,84,33,71,57,TRUE,Darkroot,Main Boss,Great Grey Wolf Sif,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,84,24,24,20,20,20,40,1,3,0,5,11,0,1,3,,5,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,44,44,35,35,35,44,35,35,35,20,,8,8,7,7,7,8,7,7,7,5,5,8,7.1,,24,24,20,20,20,28,20,20,20,12,,36.2,6.6,7.5,0.0,4,0,0,5.5,0.0,0.0,7.5,0.0,0,10.8,1,0,3.5,5.5,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,8.6,1,-7,5.5,7.5,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,ORA,,,,🔺🔺,2,,,,,,BLK,BLU,,,,⚡,,,,,,,,,,,,,4◼️,BLU,ORA,,,,⚡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Bident,596,5,99,44,85,43,FALSE,Core,Transposed,,Sunless City,Transposed,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,,Herald,3,,Herald,3,Weapon,,70,35,35,0,0,35,43,2,3,0,6,11,0,2,3,,6,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,-99,27,-99,-99,27,-99,27,27,-99,27,,-96,6,-198,-96,6,-198,6,6,-198,6,6,6,6.0,,-85,28,-198,-85,28,-198,28,28,-198,28,,23.4,4.2,3.5,0.0,4,0,0,3.5,0.0,0.0,3.5,0.0,0,12.3,1.3,0,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,-2,1,11.9,1.3,-5,3.5,5.5,5.5,0.0,0,1,1,0,0,0,0,0,0,0,-2,1,7.8,1.3,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,6,0,1,,BLK,,,BLK,,,,🔺🔺,2,,,,1📏,,BLU,BLU,,,,,,,,,,,,,TRUE,,,1📏,3◼️,BLK,BLU,BLU,,,,,,,,,,,,TRUE,,,1📏,,,,,,,,,,,,,,,2,,,,,ACTION 3: All characters gain 2 ⬛stamina,
Lifehunt Scythe,593,4,119,59,108,58,TRUE,Painted World,Main Boss,Crossbreed Priscilla,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,55,32,0,32,23,0,43,2,3,0,6,11,0,2,3,,6,11,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,20,20,20,14,-99,14,27,27,20,20,,5,5,5,4,-97,4,6,6,5,5,4,6,5.0,,20,20,20,12,-93,16,28,28,20,20,,26.2,6.6,3.5,0.0,4,0,-1,5.5,0.0,0.0,3.5,0.0,0,14.8,1.3,-1,5.5,5.5,0.0,0.0,-3,1,1,5,0,0,0,0,0,0,-2,1,14.0,1.3,-7,7.5,7.5,0.0,0.0,-3,1,1,5,0,0,0,0,0,0,-2,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,BLK,,,,🔺🔺,2,,TRUE,,1📏,1◼️,BLU,BLU,,,-1,,,TRUE,,,,,,,TRUE,,,1📏,4◼️,ORA,ORA,,,-1,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,"After you attack with this weapon, you suffer Bleed",
Pursuer's Ultra Greatsword,585,4,195,130,177,84,TRUE,Explorers,Main Boss,The Pursuer,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,33,33,33,0,0,0,58,2,5,0,8,15,0,2,5,,8,15,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,9,9,9,9,9,-99,9,9,9,9,,3,3,3,3,3,-99,3,3,3,3,3,3,3.0,,14,14,14,14,14,-99,14,14,14,14,,27.4,4.2,5.5,0.0,4,0,0,3.5,0.0,0.0,5.5,0.0,0,11.3,1.3,-3,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,14.1,1.3,-10,5.5,5.5,7.5,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,BLU,,,,🔺🔺,2,,,,1📏,2◼️,BLU,BLU,,,,,,,,,,,,,,,,1📏,5◼️,BLU,BLU,ORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greataxe,580,4,121,62,107,61,FALSE,Core,,,Painted World,,,Sunless City,,,TRUE,TRUE,TRUE,FALSE,TRUE,,FALSE,,,0,,,0,Weapon,TRUE,54,32,32,22,0,0,43,2,3,3,6,11,9,2,3,3,6,11,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,20,14,14,14,27,-99,20,20,20,20,,5,4,4,4,6,-97,5,5,5,5,4,6,4.8,,20,12,16,16,28,-93,20,20,20,20,,21.2,6.6,0.0,0.0,4,0,0,5.5,0.0,0.0,0.0,0.0,0,11.0,1,0,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,10.0,1,-5,7.5,7.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,11.5,1,-5,5.5,5.5,0.0,0.0,0,1,1.5,0,0,0,0,0,0,0,0,1,,BLU,,,,,,,🔺🔺,2,,,,,,BLU,BLU,,,,,,,,,,,,,,,,,3◼️,ORA,ORA,,,,,,,,,,,,,,,,,3◼️,BLU,BLU,,,,,TRUE,,,,,,,,,,,,,
